GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,HmacSha256Manager,14,0,0,0,4,0,4,0,4,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,BlowfishManager,14,0,0,0,4,0,4,0,4,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject,39,24,0,0,13,9,3,4,3,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,AesManager,14,0,0,0,4,0,4,0,4,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,Aes,11,0,0,0,5,0,5,0,5,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,KeyObject,104,245,10,8,32,67,13,21,4,21
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,DynamicKeyObject.INSTANCESMAX,0,89,0,0,0,10,0,2,0,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,Blowfish,2,9,0,0,1,4,1,4,1,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,HmacSha1Manager,14,0,0,0,4,0,4,0,4,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.crypto,HmacSha1,19,18,0,0,5,6,5,4,5,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpJdkLoggerFactory,5,75,2,14,2,28,2,12,0,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLoggerFactory,30,113,9,15,9,38,9,11,0,6
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpJdkLogger,142,429,38,33,31,109,40,34,4,32
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLogger,141,342,18,29,25,68,19,40,4,29
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,FormattingTuple,0,60,0,6,0,18,0,9,0,6
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpLogLevel,0,64,0,0,0,7,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpLoggerFactory,14,109,3,13,5,43,3,18,0,13
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,SysErrLogger,17,51,0,0,5,15,2,8,2,8
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,PrintOnlyWarningLogbackStatusListener,3,31,1,5,1,10,1,5,0,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,WaarpSlf4JLoggerFactory.new OutputStream() {...},7,9,0,0,2,1,1,1,1,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,MessageFormatter,128,578,19,71,24,131,17,45,0,17
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.logging,AbstractWaarpLogger,259,133,47,9,89,44,52,15,13,12
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.json,JsonHandler,175,263,16,14,56,69,25,33,13,30
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.json,JsonHandler.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpCompletedFuture,32,0,6,0,11,0,13,0,10,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpFuture,61,267,19,43,18,79,14,35,2,16
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpSucceededFuture,11,0,0,0,5,0,5,0,5,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpLock,0,26,0,0,0,14,0,4,0,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpFailedFuture,42,0,6,0,13,0,8,0,5,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.future,WaarpChannelFuture,3,11,0,0,2,5,1,3,1,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,CryptoException,9,0,0,0,4,0,2,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,FileTransferException,9,0,0,0,4,0,2,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,IllegalFiniteStateException,12,4,0,0,6,2,3,1,3,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,FileEndOfTransferException,5,4,0,0,2,2,1,1,1,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,InvalidArgumentException,0,9,0,0,0,4,0,2,0,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.exception,NoRestartException,5,4,0,0,2,2,1,1,1,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.role,RoleDefault.ROLE,14,447,7,29,7,64,7,31,0,10
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.role,RoleDefault,40,102,2,2,9,26,10,19,9,18
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.file,Restart,0,19,0,0,0,8,0,4,0,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.file,AbstractFile,27,49,3,3,9,17,5,5,2,5
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.file,FileUtils,152,648,58,110,64,195,58,51,1,24
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.file,DataBlock,370,126,39,9,76,40,41,13,18,12
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.file,AbstractDir,163,374,24,44,34,89,21,33,2,18
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseException,3,13,0,0,2,6,1,3,1,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseNoConnectionException,8,8,0,0,4,4,2,2,2,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseSqlException,7,9,0,0,4,4,2,2,2,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database.exception,WaarpDatabaseNoDataException,7,9,0,0,4,4,2,2,2,2
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.guid,JvmProcessId,184,357,38,40,55,102,33,20,2,12
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.guid,IntegerUuid,29,322,5,7,5,42,5,13,0,12
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.guid,JvmProcessId.new PrivilegedAction() {...},5,0,0,0,2,0,2,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.guid,GUID,211,765,21,39,29,141,21,37,4,24
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.guid,LongUuid,27,469,4,8,4,55,4,16,0,14
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.transcode,CharsetsUtil,30,358,10,34,10,94,10,17,0,4
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command,NextCommandReply,0,12,0,0,0,5,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command,ReplyCode,114,687,48,10,51,81,48,12,0,7
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConnectionPool.Con,32,0,4,0,11,0,5,0,3,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConnectionPool,291,98,45,9,87,31,35,9,8,9
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConnectionPool.TimeoutException,4,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbAdmin,205,234,16,18,55,70,17,25,6,19
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbSession,486,382,52,24,156,114,40,32,9,25
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConnectionPool.PoolConnectionEventListener,24,6,0,0,8,3,2,1,2,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConnectionPool.TimerTaskCheckConnections,84,0,12,0,25,0,8,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbConstant,3,0,0,0,1,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbSession.TryDisconnectDbSession,23,0,2,0,8,0,3,0,2,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbPreparedStatement,412,276,27,25,100,87,26,17,3,14
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,DbRequest,233,139,18,12,58,40,16,10,3,8
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,ConnectionFactory,94,201,6,14,26,54,12,12,6,8
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,WaarpBasicDataSourceJava6,76,0,0,0,31,0,14,0,14,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.database,WaarpBasicDataSourceJava8,10,68,0,0,5,26,1,13,1,13
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply451Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,CommandAbstractException,13,34,1,1,4,6,2,3,1,3
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply503Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply501Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply425Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply552Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply534Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply426Exception,5,0,0,0,2,0,1,0,1,0
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply502Exception,0,5,0,0,0,2,0,1,0,1
Waarp Proxy in R66 protocol/WaarpCommon,org.waarp.common.command.exception,Reply450Exception,5,0,0,0,2,0,1,0,1,0
